                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    147,                 0.6974,                0.53733,                 1.0923,                 0.9732,                0.89937,                0.95023,                0.82559,                 0.5577,                0.34037,                0.95837,               0.005182,               0.005182,               0.005182
                    148,                0.70307,                 0.5357,                 1.0926,                0.97262,                0.89973,                0.95013,                0.82563,                0.55709,                0.33994,                0.95814,               0.005149,               0.005149,               0.005149
                    149,                0.69087,                0.53072,                 1.0883,                0.96878,                0.90218,                0.95037,                0.82525,                0.55631,                0.33949,                0.95773,               0.005116,               0.005116,               0.005116
                    150,                0.68969,                0.52644,                 1.0817,                0.97093,                 0.9017,                 0.9506,                0.82555,                0.55552,                 0.3391,                0.95705,               0.005083,               0.005083,               0.005083
                    151,                0.69047,                0.52656,                 1.0869,                0.97158,                0.90172,                0.95015,                0.82521,                0.55498,                0.33874,                0.95686,                0.00505,                0.00505,                0.00505
                    152,                0.69567,                0.52594,                  1.088,                0.97228,                0.90227,                0.95038,                0.82554,                0.55459,                0.33837,                0.95651,               0.005017,               0.005017,               0.005017
                    153,                0.68872,                0.52261,                 1.0835,                0.97264,                0.90173,                0.95034,                0.82563,                0.55164,                0.33799,                0.95297,               0.004984,               0.004984,               0.004984
                    154,                0.69138,                0.52197,                 1.0836,                0.97281,                0.90122,                0.95028,                0.82596,                0.55128,                0.33776,                0.95264,               0.004951,               0.004951,               0.004951
                    155,                0.68719,                 0.5233,                 1.0836,                0.97301,                0.90105,                0.95023,                0.82619,                0.55071,                0.33699,                0.95229,               0.004918,               0.004918,               0.004918
                    156,                0.68395,                0.51764,                 1.0844,                0.97444,                0.90042,                0.95036,                 0.8263,                0.55026,                0.33684,                0.95208,               0.004885,               0.004885,               0.004885
